target_cli_or_file,target_type,target_category,keep_or_create,replaces_current_scripts,input_summary,output_summary,notes
lake_adft visualize pwm-global,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_pwm_extreme_global.py; cli/plot.py:pwm_global","core PWM results and grid aggregations","standard core global maps under core figures","Official global visualization"
lake_adft visualize eot-global,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_eot_global.py; cli/plot.py:eot_global","core EOT results and grid aggregations","standard core global maps under core figures","Official global visualization"
lake_adft visualize comparison-global,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_comparison_global.py; cli/plot.py:comparison_global","comparison benchmark caches and aggregated outputs","comparison global figure set","Rendering backend kept but driven by benchmark outputs"
lake_adft visualize comparison-zonal,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_comparison_zonal.py; cli/plot.py:comparison_zonal","comparison benchmark caches and aggregated outputs","comparison zonal figure set","Rendering backend kept but driven by benchmark outputs"
lake_adft visualize extremes-scatter,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_extremes_scatter.py; cli/plot.py:extremes_scatter","core quantile results and lake_info","core scatter figure under core figures","Official global visualization"
lake_adft visualize quality,cli-command,visualize,create,"packages/lakeanalysis/scripts/plot_anomaly_upset.py; packages/lakeanalysis/scripts/run_area_comparison.py; quality-related plotting helpers; cli/plot.py:upset; cli/comparison.py:area","quality-layer tables and comparison artifacts including area_quality area_anomalies and area-vs-atlas metrics","quality overview figures and QC tables including upset area comparison and related quality diagnostics","Quality visualization should subsume upset and broader data-quality analysis"
lake_adft visualize area-histogram,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_area_histogram.py; cli/plot.py:area_histogram","lake_info and area_quality area distributions","core histogram figures","Official global visualization"
lake_adft visualize qr,cli-command,visualize,create,"packages/lakeanalysis/scripts/run_hawkes_qc.py; cli/hawkes.py:qc; future result-QC visualizers for other result families","result tables across algorithms and experiments plus optional coverage queries","result-quality tables and QC figures across all result families","General result-quality review visualize group; Hawkes QC becomes one member"
lake_adft experiment hawkes-mining,cli-command,experiment,keep,"packages/lakeanalysis/scripts/run_hawkes_mining.py; cli/hawkes.py:mining","hawkes batch summary plus lake_area and mining thresholds","experiment mining tables JSON and figures","Keep CLI only; script archived"
packages/lakeanalysis/scripts/_archived/*.py,file-set,archived,keep,"all non-business wrappers, temporary scripts, duplicated script implementations, debug plots, maintenance one-offs","n/a","n/a","Everything archived here is not tested and not called from active CLI"
