script_path,primary_function,has_cli,cli_group_or_command,category,status,input_summary,output_summary,notes
packages/lakeanalysis/scripts/run_entropy.py,Run AE entropy computation and optional plots,yes,"entropy run / update_amplitude / plot_only",experiment,keep,"lake_area; chunk config; optional existing entropy parquet","data/entropy parquet outputs plus DB sync and optional plots","Should be treated as专题实验 not core workflow"
packages/lakeanalysis/scripts/run_interpolation_detect.py,Detect interpolation segments in time series,yes,"quality interpolation",experiment,keep,"lake_area; frozen months; collinear segment config","data/interpolation/interpolation_detect.parquet and optional DB table","Should be treated as专题实验 not core workflow"
packages/lakeanalysis/scripts/run_area_comparison.py,Compare rs_area and atlas_area and render report,no,"comparison area",comparison,keep,"area_quality parquet/backend; agreement thresholds; sample size","data/area_comparison CSV reports and plots","Better treated as comparison benchmark entry; CLI implementation currently duplicates a reduced version"
packages/lakeanalysis/scripts/run_algorithm_comparison.py,Run sampled quantile-vs-PWM comparison,no,"comparison run",comparison,keep,"sample_lakes.parquet; batch config; provider reads","comparison tables in DB plus data/comparison/*.parquet postprocess outputs","Should become benchmark-oriented CLI entry with plotting folded in"
packages/lakeanalysis/scripts/sample_test_lakes.py,Sample geographically stratified benchmark lakes,yes,"comparison sample_lakes",comparison,keep,"lake_info joined with area_quality; sample size; grid size","data/comparison/sample_lakes.parquet and sample_statistics.parquet","Intermediate benchmark preparation step; should be hidden behind benchmark command"
packages/lakeanalysis/scripts/comparison_grid_agg.py,Build comparison grid aggregation cache,yes,"comparison grid_agg",comparison,keep,"sample_lakes.parquet; provider grid aggregation; resolution","data/cache/comparison cached aggregation parquet","Intermediate benchmark cache step; should be folded into benchmark workflow"
packages/lakeanalysis/scripts/plot_comparison_global.py,Render comparison global panels,yes,"plot comparison-global",comparison,keep,"comparison caches/results; figure resolution; gt10/full dirs","comparison panel PNG files under figures/comparison","Should remain visualization backend but driven by benchmark CLI"
packages/lakeanalysis/scripts/plot_comparison_zonal.py,Render comparison zonal profiles,yes,"plot comparison-zonal",comparison,keep,"sample_lakes.parquet; comparison aggregation; lat band config","comparison zonal profile PNG files under figures/comparison","Should remain visualization backend but driven by benchmark CLI"
packages/lakeanalysis/scripts/run_hawkes_qc.py,Produce Hawkes QC summaries and plots,yes,"hawkes qc",visualize,archive,"hawkes results tables; optional EOT coverage; sampling limits","data/hawkes/qc CSV summaries and QC PNG plots","Script duplicates richer CLI functionality; archive script and keep CLI"
packages/lakeanalysis/scripts/run_hawkes_mining.py,Mine Hawkes outputs for transition lakes,yes,"hawkes mining",experiment,archive,"hawkes batch summary.csv; lake_area; thresholds","data/hawkes/batch/mining CSV JSON and PNG outputs","Script duplicates CLI functionality; archive script and keep CLI"
packages/lakeanalysis/scripts/run_hawkes.py,Single-lake Hawkes modelling with plots,yes,"hawkes run",diagnostics,archive,"single hylak_id; lake_area; frozen months; EOT threshold","data/hawkes/<lake_id>/ CSV JSON and plot bundle","Diagnostic non-business script"
packages/lakeanalysis/scripts/run_pwm_hawkes_diag.py,Small-sample PWM-Hawkes diagnostics,yes,"pwm diag",diagnostics,archive,"limit_id; batch params; existing pwm_hawkes_results","data/pwm_hawkes/diag/diagnosis.csv","Diagnostic helper; not business workflow"
packages/lakeanalysis/scripts/run_eot_extremes_plot.py,Single-lake EOT timeline plot,yes,"plot eot-extremes",diagnostics,archive,"single hylak_id; EOT extremes from DB","single PNG timeline","Diagnostic plot helper"
packages/lakeanalysis/scripts/run_basemodel.py,Select and inspect EOT base model,no,"eot basemodel",diagnostics,archive,"single lake or range; model criterion","console output and optional plots","Diagnostic exploration tool"
packages/lakeanalysis/scripts/plot_quantile_global.py,Render global quantile maps,yes,"plot quantile-global",visualize,keep,"quantile grid aggregations; provider; resolution","figures/full or figures/<dataset>/quantile PNG maps","Core result visualization"
packages/lakeanalysis/scripts/plot_pwm_extreme_global.py,Render global PWM maps,yes,"plot pwm-global",visualize,keep,"PWM grid aggregations; provider; resolution; p-values","figures/<dataset>/pwm_extreme PNG maps","Core result visualization"
packages/lakeanalysis/scripts/plot_eot_global.py,Render global EOT maps,yes,"plot eot-global",visualize,keep,"EOT results; available quantiles; provider; resolution","figures/<dataset>/eot PNG maps","Core result visualization"
packages/lakeanalysis/scripts/plot_extremes_scatter.py,Render global quantile extremes scatter map,yes,"plot extremes-scatter",visualize,keep,"quantile_extremes parquet; lake_info; styling options","figures/<dataset>/quantile/extremes_scatter.png","Core result visualization"
packages/lakeanalysis/scripts/plot_anomaly_upset.py,Render anomaly upset and donut,yes,"plot upset",visualize,keep,"area_anomalies flags from DB/parquet","figures/upset/anomaly_upset.png and anomaly_donut.png or combined variant","Core result visualization"
packages/lakeanalysis/scripts/plot_area_histogram.py,Render lake area histogram plots,yes,"plot area-histogram",visualize,keep,"lake_info and area_quality size distributions","figures/histogram PNG outputs","Core result visualization"
packages/lakeanalysis/scripts/plot_pwm_hawkes_summary.py,Render PWM-Hawkes summary diagnostics,yes,"plot pwm-hawkes-summary",diagnostics,archive,"data/pwm_hawkes/diag/diagnosis.csv","figures/pwm_hawkes summary PNG set","Diagnostic plot helper"
packages/lakeanalysis/scripts/plot_pwm_hawkes_lake.py,Render single-lake PWM-Hawkes timeline,yes,"plot pwm-hawkes-lake",diagnostics,archive,"single hylak_id; lake_area; transition monthly parquet","figures/pwm_hawkes/hylak_<id>_pwm_hawkes_timeline.png","Diagnostic plot helper"
packages/lakeanalysis/scripts/plot_interpolation_sample.py,Render sampled interpolation cases,yes,"plot interpolation-sample",diagnostics,archive,"interpolation_detect table; lake_area; frozen months; sample size","data/interpolation/figures/sample_*.png","Diagnostic experiment helper"
packages/lakeanalysis/scripts/plot_interpolation_hq.py,Render HQ interpolation cases,yes,"plot interpolation-hq",diagnostics,archive,"explicit hylak_ids; lake_area; interpolation segments","data/interpolation/figures/hq_*.png","Diagnostic experiment helper"
packages/lakeanalysis/scripts/plot_shift_candidate_lakes.py,Render shift candidate timelines,yes,"plot shift-candidates",diagnostics,archive,"candidate CSV/parquet; lake_area; frozen months","figures/shift_candidates/shift_candidate_<id>.png","Diagnostic plot helper"
packages/lakeanalysis/scripts/inspect_shift_lakes.py,Inspect specific shift lakes,no,"shift inspect",diagnostics,archive,"explicit hylak_ids","console detail and PNG plots","Redundant with CLI inspect path"
packages/lakeanalysis/scripts/plot_flat_lake_series.py,Render flat-series quality samples,yes,"plot flat-series",diagnostics,archive,"area_quality and lake_area parquet; n_distinct threshold","figures/quality/flat_lake_series_*.png","Quality debugging plot"
packages/lakeanalysis/scripts/plot_hcv_lake_series.py,Render low HxCV quality samples,yes,"plot hcv-series",diagnostics,archive,"area_entropy_cv and lake_area; random sample","figures/quality/hcv_lake_series_*.png","Quality debugging plot"
packages/lakeanalysis/scripts/plot_hcv_mid_lake_series.py,Render mid HxCV quality samples,yes,"plot hcv-mid-series",diagnostics,archive,"area_entropy_cv and lake_area; random sample","figures/quality/hcv_mid_lake_series_*.png","Quality debugging plot"
packages/lakeanalysis/scripts/plot_pv_lake_series.py,Render PV-anomalous quality samples,yes,"plot pv-series",diagnostics,archive,"quality metrics and lake_area; random sample","figures/quality/pv_lake_series_*.png","Quality debugging plot"
packages/lakeanalysis/scripts/sample_shift_degraded_candidates.py,Sample shift degraded candidates,no,"shift sample",diagnostics,archive,"shift filter scan over lake_area","candidate parquet/csv outputs","Redundant with CLI sample path"
packages/lakeanalysis/scripts/recheck_zero_quantile.py,Maintenance recheck for zero quantile,no,"quality recheck_zero_quantile",maintenance,archive,"existing zero-quantile flagged lakes","maintenance DB updates or dry-run logs","Non-business maintenance script"
packages/lakeanalysis/scripts/recompute_pv.py,Maintenance recompute PV,no,"quality recompute_pv",maintenance,archive,"existing quality rows; chunk config","maintenance DB updates or dry-run logs","Non-business maintenance script"
packages/lakeanalysis/scripts/migrate_outside_range_fix.py,One-off anomaly migration fix,no,"none",maintenance,archive,"area_anomalies and temp table build","DB mutation only","One-off migration; should not stay active"
packages/lakeanalysis/scripts/export_area_tables.py,Export area tables to parquet,no,"none",maintenance,archive,"DB area_quality and area_anomalies; chunk config","data/parquet/area_quality and area_anomalies chunked parquet","Operational export helper; non-business"
packages/lakeanalysis/scripts/_archived/test_db.py,Archived DB connectivity test,no,"none",archived,archive,"DB connection params","console only","Already archived"
packages/lakeanalysis/scripts/_archived/run_hawkes_batch.py,Archived old Hawkes batch pipeline,no,"none",archived,archive,"legacy parameters","legacy hawkes batch outputs","Already archived"
packages/lakeanalysis/scripts/_archived/migrate_flat_quality_to_anomalies.py,Archived migration,no,"none",archived,archive,"legacy anomaly flags","DB mutation only","Already archived"
packages/lakeanalysis/scripts/_archived/migrate_area_ratio_to_anomalies.py,Archived migration,no,"none",archived,archive,"legacy anomaly flags","DB mutation only","Already archived"
packages/lakeanalysis/scripts/_archived/explore_penalized_volatility.py,Archived exploratory analysis,no,"none",archived,archive,"quality tables and samples","exploratory plots/tables","Already archived"
packages/lakeanalysis/scripts/_archived/explore_entropy_cv.py,Archived exploratory analysis,no,"none",archived,archive,"entropy_cv tables and samples","exploratory plots/tables","Already archived"
